Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Source
SV Straßwalchen	Josef	Adam			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
SV Straßwalchen	Josef	Adam			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
SV Straßwalchen	Alois	Söllinger			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
SV Straßwalchen		Schleichter			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
SV Straßwalchen		Krenn			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
SV Straßwalchen		Zenz			WAT Wien			0	0	JUDO https://www.sn.at/archivsn?img=LvyROdjHFtFCvTI9w4mRO6quoYfQbhtXpPnEBuojcVxbs03radSxJTeJ%2FAKWEqBN%2FW%2B3Lz%2F2%2FoDrTcIzezfIipR6ovFKYrGFyKiC3dy5nklCBoBoIavUXdq5jar1pwNS&id1=19750407_09&q=judo%2520staatsliga#sn-archiv-9
JC Straßwalchen	Josef	Adam			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Helmut	Krempler			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen		Krenn			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Gerhard	Dorfinger			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
JC Straßwalchen	Herbert	Schleicher			JC Pöls			0	0	{{Internetquelle |titel=Judo |url=https://www.sn.at/archivsn?img=9xxfxOUTYUExxHEiY1ZFz%2B0mjy5chJTOVuDx09MgAcc06%2Bn2MwjbkrrslfCRZizXrcoU5%2FiprwnDVTEY89MVp%2FAsfWmUhzB47Nwuj32d98xpmsvmmAzSU3wgvVRiABRx&id1=19750224_14&q=SV%2520Ulmerfeld%2520judo#slide14 |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |sprache=de |abruf=2025-03-17}}
