Fight Number	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
5	SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0	SCHIRNHOFER	Maximilian	0	0	0	0	0	1	10	
6	KENDLER	Christopher	0	0	0	0	0	0	0	KRONBERGER	Christoph	0	0	0	0	0	1	10	
7	RIESS	Rupert Jun	0	0	0	0	0	0	0	BOR	Barna	0	0	0	0	0	1	10	
8	ENGLMAIER	Tobias	0	0	0	0	0	1	10	PRASCHL	Johannes	0	0	0	0	0	0	0	
9	HERZOG	Andreas	0	0	0	0	0	1	10	HOFMANN	Lukas	0	0	0	0	0	0	0	
10	WIMBERGER	Markus	0	0	0	0	0	0	0	MAYR	Michael	0	0	0	0	0	1	7	
11	MITTERFELLNER	Andreas	0	0	0	0	0	0	0	SCHIRNHOFER	Felix	0	0	0	0	0	1	7	
12	RIESS	Christian	0	0	0	0	0	0	0	SCHIRNHOFER	Maximilian	0	0	0	0	0	1	10	
13	SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0	KRONBERGER	Stefan	0	0	0	0	0	1	5	
14	RIESS	Rupert Jun	0	0	0	0	0	0	0	BOR	Barna	0	0	0	0	0	1	10	
1	MENDES	Manuel	0	0	0	0	0	0	0	BURJAN	Laszlo	0	0	1	0	0	1	10	
2	FELLNER	Hans-Peter	0	0	0	0	0	0	0	WEICHINGER	Alexander	0	0	0	0	0	0	0	
3	OBERROITHNER	Julian	0	0	0	0	0	0	0	OTT	Marcel	0	0	1	0	0	1	10	
4	STEGMAYER	Dominik	0	0	0	1	0	0	0	KUCIARA	Stefan	0	0	1	1	0	1	10	
5	ABRAHAM	Elöd	1	0	0	2	0	0	0	REICHMANN	Manuel	1	0	0	1	0	0	0	
6	RIEGLER	Stefan	0	0	0	0	0	0	0	REICHSTEIN	Julian	0	0	1	1	0	1	10	
7	BALLA	Zsolt-Tamas	0	0	0	0	1	0	0	BRATA	Daniel	0	1	0	0	0	1	10	
8	MENDES	Manuel	0	0	0	0	0	0	0	BURJAN	Laszlo	0	0	1	0	0	1	10	
9	FELLNER	Hans-Peter	0	0	0	0	0	0	0	WEICHINGER	Alexander	0	0	0	1	0	0	0	
10	RAMMLER	Johannes	0	0	0	0	0	0	0	HAASMANN	Nick	0	0	1	0	0	1	10	
11	STEGMAYER	Dominik	0	0	0	0	0	0	0	KUCIARA	Stefan	0	0	0	0	0	0	0	
12	ABRAHAM	Elöd	0	0	0	0	0	0	0	REICHMANN	Manuel	1	0	0	1	0	1	5	
13	BALLA	Zsolt-Tamas	0	0	0	0	0	0	0	REICHSTEIN	Julian	0	0	1	0	0	1	10	
14	RIEGLER	Stefan	0	0	0	0	0	0	0	BRATA	Daniel	0	0	1	0	0	1	10	
1	TIEFGRABER	Andreas	1	0	1	0	0	1	10	TAMAS	Daniel	0	0	0	0	0	0	0	
2	WINDBICHLER	Tobias	0	0	0	0	0	0	0	STADLBAUER	Christian	0	0	1	0	0	1	10	
3	PFEIFFER	Johannes	0	0	0	1	0	0	0	MOSER	Markus	0	1	1	0	0	1	10	
4	OBERMAYR	Stefan	1	0	0	1	0	1	5	STUMPF	Norbert	0	0	0	1	0	0	0	
5	PURECE	Valean	0	0	1	1	0	1	10	RADLHERR	Christoph	0	0	0	1	0	0	0	
6	MATEI	Daniel	0	0	1	0	0	1	10	PRENTNER	Clemens	0	0	0	0	0	0	0	
7	KRONSCHLÄGER	Florian	0	0	1	0	0	1	10	KUBA	Sascha	0	0	0	0	0	0	0	
8	TIEFGRABER	Andreas	0	0	1	0	0	1	10	TAMAS	Daniel	0	0	0	0	0	0	0	
9	WINDBICHLER	Tobias	0	0	0	1	0	0	0	STADLBAUER	Christian	0	1	0	0	0	1	7	
10	PFEIFFER	Johannes	0	0	0	4	0	0	0	MOSER	Markus	0	0	1	1	0	1	10	
11	OBERMAYR	Stefan	2	0	1	1	0	1	10	HUSCAVA	Dominic	0	0	0	0	0	0	0	
12	KRONSCHLÄGER	Florian	1	0	0	2	0	0	0	RADLHERR	Christoph	1	0	1	2	0	1	10	
13	MATEI	Daniel	1	1	1	0	0	1	10	WEIßSTEINER	Bernhard	0	0	0	1	0	0	0	
14	NATEA	Ilie	1	1	1	0	0	1	10	PRENTNER	Clemens	0	0	0	0	0	0	0	
1	PAISCHER	Ludwig	0	0	1	0	0	1	10	MENDES	Manuel	0	0	0	1	0	0	0	
2	STEGMUELLER	Roland	1	0	0	0	0	1	5	FELLNER	Hans-Peter	0	0	0	2	0	0	0	
3	MAYR	Michael	1	0	1	0	0	1	10	OBERROITHNER	Julian	0	0	0	1	0	0	0	
4	WARTBICHLER	Hannes	0	1	0	2	0	1	7	STEGMAYER	Dominik	1	0	0	1	0	0	0	
5	SCHIRNHOFER	Maximilian	1	0	1	0	0	1	10	GEBER	David	0	0	0	0	0	0	0	
6	KRONBERGER	Stefan	0	1	0	0	0	1	10	BALLA	Zsolt-Tamas	0	0	0	3	1	0	0	
7	KRONBERGER	Christoph	0	0	1	0	0	1	10	RIEGLER	Stefan	0	0	0	0	0	0	0	
8	PAISCHER	Ludwig	0	0	1	0	0	1	10	MENDES	Manuel	0	0	0	0	0	0	0	
9	POHN	Bernhard	1	0	1	1	0	1	10	FELLNER	Hans-Peter	0	0	0	1	0	0	0	
10	SPITZER	Kevin	0	1	1	1	0	1	10	HAMINGER	Thomas	0	0	0	0	0	0	0	
11	SCHIRNHOFER	Felix	0	0	1	0	0	1	10	STEGMAYER	Dominik	0	0	0	0	0	0	0	
12	SCHIRNHOFER	Maximilian	0	0	1	0	0	1	10	GEBER	David	0	0	0	0	0	0	0	
13	STERNER	Thomas	1	0	0	1	0	1	5	RIEGLER	Stefan	0	0	0	1	0	0	0	
14	KRONBERGER	Stefan	0	0	1	0	0	1	10			0	0	0	0	0	0	0	
1	WILDAUER	Peter	0	0	0	0	0	0	0	PÜHRINGER	Reinhold	0	0	1	0	0	1	10	
2	IVINGER	Erich	0	0	0	1	0	0	0	REITER	Georg	1	0	0	0	0	1	5	
3	GRASSMAIR	Severin	0	0	0	1	0	0	0	SCHARINGER	Peter	0	0	1	0	0	1	10	
4	BüRGES	Milan	0	1	1	0	0	1	10	PFISTERMÜLLER	Peter	0	0	0	0	0	0	0	
5	IMRE	Lehel	0	0	0	0	0	0	0	SCHAUBMAYR	Rene	0	0	0	0	0	0	0	
6	HOLLAUS	Franz	0	0	0	0	0	0	0	GERZER	Dominik	0	0	1	0	0	1	10	
7	FARKAS	Balint	0	1	1	1	0	1	10	ALLERSTORFER	Daniel	0	0	0	3	0	0	0	
8	WILDAUER	Peter	0	0	0	0	0	0	0	HUEMER	Mathias	0	0	1	0	0	1	10	
9	IVINGER	Erich	0	0	0	0	0	0	0	REITER	Georg	0	1	0	1	0	1	7	
10	GRASSMAIR	Severin	0	0	0	0	0	0	0	SCHARINGER	Peter	0	1	1	0	0	1	10	
11	STEINICKE	Alexander	0	0	0	0	0	0	0	PFISTERMÜLLER	Peter	0	0	1	0	0	1	10	
12	IMRE	Lehel	0	0	0	0	0	0	0	SCHAUBMAYR	Rene	0	0	0	0	0	0	0	
13	BüRGES	Milan	0	0	0	1	0	0	0	GERZER	Dominik	1	0	0	0	0	1	5	
14	FARKAS	Balint	0	0	0	0	0	0	0	ALLERSTORFER	Daniel	0	0	0	1	0	0	0	
1	BURJAN	Laszlo	0	0	1	1	0	1	10	TIEFGRABER	Andreas	0	0	0	2	0	0	0	
2	WEICHINGER	Alexander	2	0	1	0	0	1	10	LACCHINI	Alexander	0	0	0	0	0	0	0	
3	HAASMANN	Nick	0	0	0	1	0	0	0	PFEIFFER	Johannes	0	0	0	1	0	0	0	
4	OTT	Marcel	1	1	0	1	0	1	7	OBERMAYR	Stefan	0	0	0	2	0	0	0	
5	REICHMANN	Manuel	0	1	0	1	0	1	7	MATEI	Daniel	0	0	0	1	0	0	0	
6	REICHSTEIN	Julian	1	2	0	0	0	1	10	FURCH	Lukas	0	0	0	0	0	0	0	
7	BRATA	Daniel	0	1	1	1	0	1	10	NATEA	Ilie	1	0	0	0	0	0	0	
8	BURJAN	Laszlo	0	0	0	0	0	0	0	TIEFGRABER	Andreas	0	0	0	0	0	0	0	
9	WEICHINGER	Alexander	1	0	1	0	0	1	10	LACCHINI	Alexander	0	0	0	0	0	0	0	
10	HAASMANN	Nick	0	0	0	1	0	0	0	PFEIFFER	Johannes	0	1	1	0	0	1	10	
11	OTT	Marcel	0	0	1	0	0	1	10	OBERMAYR	Stefan	0	0	0	1	0	0	0	
12	REICHMANN	Manuel	0	1	1	0	0	1	10	PFLEGER	Christian	0	0	0	0	0	0	0	
13	GEIER	Gabor	0	0	0	0	0	0	0	MATEI	Daniel	1	2	0	0	0	1	10	
14	BRATA	Daniel	0	0	0	1	0	0	0	NATEA	Ilie	0	0	1	1	0	1	10	
1			0	0	0	0	0	0	0	ENGLMAIER	Tobias	0	0	0	0	0	1	10	
2	STADLBAUER	Christian	0	0	0	0	0	0	0	MITTERFELLNER	Andreas	0	0	0	0	0	1	10	
3	MOSER	Markus	2	0	0	0	0	1	5	WIMBERGER	Markus	0	0	0	2	0	0	0	
4	STUMPF	Norbert	0	0	0	1	0	0	0	HÖLLWART	Hermann	1	0	0	0	0	1	5	
5	RADLHERR	Christoph	0	0	0	0	0	1	10	SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0	
6	JELINEK	Andreas	0	1	0	3	0	0	0	ASCHABER	Anton	0	1	0	1	0	0	0	
7	BORNATOWICZ	Thomas	0	0	0	0	0	0	0	RIESS	Rupert Jun	0	0	0	0	0	1	10	
8			0	0	0	0	0	0	0	ENGLMAIER	Tobias	0	0	0	0	0	1	10	
9	STADLBAUER	Christian	0	1	1	0	0	1	10	HERZOG	Andreas	0	0	0	0	0	0	0	
10	MOSER	Markus	0	0	0	0	0	0	0	KRNAC	Josef	0	1	1	0	0	1	10	
11	STUMPF	Norbert	0	0	0	0	0	0	0	HÖLLWART	Hermann	0	0	0	0	0	0	0	
12	RADLHERR	Christoph	0	0	0	0	0	1	10	ASCHABER	Anton	0	0	0	0	0	0	0	
13	KUBA	Sascha	1	0	0	0	0	0	0	SOMMERER-HINTERBICHLER	Andreas	0	0	0	2	0	1	10	
14	JELINEK	Andreas	0	0	0	0	0	0	0	RIESS	Rupert Jun	0	0	0	0	0	1	10	
1	ZEHENTNER	David	0	0	0	1	0	0	0	MENDES	Manuel	0	0	1	0	0	1	10	
2	HERZOG	Andreas	1	0	0	2	0	0	0	FELLNER	Hans-Peter	0	1	1	0	0	1	10	
3	MITTERFELLNER	Andreas	0	1	1	0	0	1	10	OBERROITHNER	Julian	0	0	0	0	0	0	0	
4	KRNAC	Josef	0	0	0	2	0	0	0	STEGMAYER	Dominik	0	0	0	1	0	1	5	
5	SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0	EDER	Marcus	0	0	1	0	0	1	10	
6	HÖLLWART	Hermann	0	1	1	0	0	1	10	RIEGLER	Stefan	0	0	0	0	0	0	0	
7	RIESS	Rupert Jun	0	0	1	0	0	1	10	GUTSJAHR	Lukas	0	0	0	0	0	0	0	
8	ZEHENTNER	David	0	0	0	1	1	0	0	MENDES	Manuel	1	0	1	0	0	1	10	
9	HERZOG	Andreas	0	0	0	1	0	0	0	FELLNER	Hans-Peter	1	2	0	1	0	1	10	
10	WIMBERGER	Markus	0	0	1	0	0	1	10	HAMINGER	Thomas	0	0	0	0	0	0	0	
11	MITTERFELLNER	Andreas	1	0	1	0	0	1	10	OBERROITHNER	Julian	0	0	0	0	0	0	0	
12	HÖLLWART	Hermann	1	0	0	2	0	1	7	EDER	Marcus	0	0	0	3	0	0	0	
13	ASCHABER	Anton	0	0	0	0	0	0	0	STEGMAYER	Dominik	3	0	0	0	0	1	5	
14	RIESS	Rupert Jun	0	2	0	0	0	1	10	RIEGLER	Stefan	0	0	0	0	0	0	0	
1	TIEFGRABER	Andreas	2	0	0	1	0	1	5	STEGMUELLER	Roland	1	0	0	1	0	0	0	
2	WINDBICHLER	Tobias	0	0	0	1	0	0	0	POHN	Bernhard	0	1	1	0	0	1	10	
3	PFEIFFER	Johannes	0	0	0	0	0	0	0	SPITZER	Kevin	0	0	0	0	0	0	0	
4	OBERMAYR	Stefan	0	0	0	0	0	0	0	WARTBICHLER	Hannes	0	0	1	0	0	1	10	
5	KRONSCHLÄGER	Florian	1	1	0	2	0	1	7	STERNER	Thomas	2	0	0	2	0	0	0	
6	PURECE	Valean	0	0	0	1	0	0	0	KRONBERGER	Christoph	0	0	1	0	0	1	10	
7	NATEA	Ilie	1	0	1	0	0	1	10	KRONBERGER	Stefan	0	0	0	0	0	0	0	
8	TIEFGRABER	Andreas	0	2	1	1	0	1	10	STEGMUELLER	Roland	0	0	0	0	0	0	0	
9	MUSSNIG	Daniel	0	0	0	0	0	0	0	POHN	Bernhard	0	0	1	0	0	1	10	
10	PFEIFFER	Johannes	0	0	0	1	0	0	0	SPITZER	Kevin	1	0	1	0	0	1	10	
11	OBERMAYR	Stefan	0	0	0	3	0	0	0	WARTBICHLER	Hannes	0	1	1	0	0	1	10	
12	KRONSCHLÄGER	Florian	0	0	1	3	0	1	10	SCHIRNHOFER	Felix	0	1	0	2	0	0	0	
13	PURECE	Valean	0	0	0	2	0	0	0	KRONBERGER	Stefan	2	0	1	0	0	1	10	
14	NATEA	Ilie	0	0	0	1	0	1	10	KRONBERGER	Christoph	0	0	0	1	0	0	0	
1	HUEMER	Mathias	0	0	0	0	0	0	0	HÖDL	Manuel	1	0	0	0	0	1	5	
2	SHALA	Driton	0	0	0	1	0	0	0	LANG	Dominik	0	0	0	1	0	0	0	
3	DOBERSBERGER	Martin	0	0	1	0	0	1	10	RIBITSCH	Stephan	0	0	0	0	0	0	0	
4	SCHAUBMAYR	Rene	1	0	1	0	0	1	10	SCHÖGLER	Christoph	0	0	0	2	0	0	0	
5	PFISTERMÜLLER	Peter	0	1	0	1	0	1	7	ACKERL	Philipp	0	0	0	0	0	0	0	
6			1	0	0	0	0	0	0	BERTAGNOLI	Martin	2	0	1	2	0	1	10	
7	ALLERSTORFER	Daniel	0	1	0	0	0	1	10	POPP	Philipp	0	0	0	3	0	0	0	
8	PÜHRINGER	Reinhold	0	0	1	0	0	1	10	HÖDL	Manuel	0	0	0	0	0	0	0	
9	SHALA	Driton	0	1	1	0	0	1	10	LANG	Dominik	0	0	0	0	0	0	0	
10	DOBERSBERGER	Martin	0	0	1	0	0	1	10	RIBITSCH	Stephan	0	0	0	1	0	0	0	
11	SCHAUBMAYR	Rene	1	0	0	0	0	1	5	ACKERL	Thomas	0	0	0	2	0	0	0	
12	PFISTERMÜLLER	Peter	1	0	1	0	0	1	10	ACKERL	Philipp	0	1	0	0	0	0	0	
13	HOFER	Simon	0	0	0	0	0	0	0	BERTAGNOLI	Martin	0	0	1	0	0	1	10	
14	ALLERSTORFER	Daniel	0	0	1	0	0	1	10	POPP	Philipp	0	0	0	0	0	0	0	
1	MAJER	Tibor	0	0	0	0	0	0	0	PASOLLI	Ivo	0	0	1	0	0	1	10	
2	LACHNER		Christian	0	0	0	0	0	0	0	IVINGER	Erich	0	0	1	0	0	1	10
3	MOSER	Markus	0	0	0	0	0	0	0	GRASSMAIR	Severin	0	0	1	0	0	1	10	
4	ZACHAR	Christian	0	0	0	0	0	0	0	IMRE	Lehel	0	0	0	0	0	0	0	
5	KUBA	Sascha	0	0	0	0	0	0	0	BüRGES	Milan	0	0	0	0	0	1	10	
6	PRENTNER	Clemens	0	0	0	0	0	1	10	STEINICKE	Alexander	0	0	0	0	0	0	0	
7	RADLHERR	Christoph	0	0	0	0	0	0	0	LINDNER	Florian	0	0	0	0	0	0	0	
8			0	0	0	0	0	0	0	PASOLLI	Ivo	0	0	0	0	0	1	10	
9	STADLBAUER	Christian	0	0	0	0	0	1	10	IVINGER	Erich	0	0	0	0	0	0	0	
10	MOSER	Markus	0	0	0	0	0	1	10	GRASSMAIR	Severin	1	0	0	0	0	0	0	
11	ZACHAR	Christian	0	0	0	0	0	0	0	BüRGES	Milan	0	0	0	0	0	1	10	
12	RADLHERR	Christoph	1	1	0	0	0	1	5	IMRE	Lehel	0	1	0	0	0	0	0	
13	KUBA	Sascha	0	0	0	0	0	1	10	PARRAINER	Harald	1	0	0	0	0	0	0	
14	PRENTNER	Clemens	0	0	0	0	0	0	0	LINDNER	Florian	0	0	0	0	0	1	10	
1	HÖDL	Manuel	1	1	1	0	0	1	10	KUDERA	Stefan	0	0	0	0	0	0	0	
2	LANG	Dominik	0	0	0	1	0	0	0	WEICHINGER	Alexander	0	0	1	0	0	1	10	
3	ACKERL	Thomas	0	0	0	1	0	0	0	OTT	Marcel	1	1	1	0	0	1	10	
4	MARIJANOVIC	Tomislav	0	0	1	0	0	1	10	HAASMANN	Nick	0	0	0	0	0	0	0	
5	ACKERL	Philipp	0	0	1	0	0	1	10	KUCIARA	Stefan	0	1	0	1	0	0	0	
6	KRPALEK	Lukas	0	0	1	0	0	1	10	GEIER	Gabor	0	0	0	0	0	0	0	
7	BERTAGNOLI	Martin	0	0	0	3	0	0	0	BRATA	Daniel	1	1	0	1	0	1	7	
8	HÖDL	Manuel	2	0	1	0	0	1	10	KUDERA	Stefan	0	0	0	0	0	0	0	
9	LANG	Dominik	0	0	0	1	0	0	0	WEICHINGER	Alexander	0	0	0	1	0	0	0	
10	GRASMUGG	Marc	0	0	0	0	0	0	0	OTT	Marcel	2	2	0	0	0	1	10	
11	SCHÖGLER	Christoph	0	0	0	0	0	0	0	KUCIARA	Stefan	2	1	1	0	0	1	10	
12	MARIJANOVIC	Tomislav	0	0	1	0	0	1	10	HOLZER	Christian	0	0	0	0	0	0	0	
13	KRPALEK	Lukas	0	0	1	0	0	1	10	GEIER	Gabor	0	0	0	0	0	0	0	
14	BERTAGNOLI	Martin	0	0	0	2	0	0	0	BRATA	Daniel	1	0	1	0	0	1	10	
1	ENGLMAIER	Tobias	0	0	1	0	0	1	10	TIEFGRABER	Andreas	0	0	0	1	0	0	0	
2	MITTERFELLNER	Andreas	0	2	0	0	0	1	10	WINDBICHLER	Tobias	0	0	0	0	0	0	0	
3	WIMBERGER	Markus	0	0	0	2	0	0	0	PFEIFFER	Johannes	0	0	0	2	0	0	0	
4	HÖLLWART	Hermann	0	0	0	1	0	1	10	OBERMAYR	Stefan	0	0	0	2	1	0	0	
5	ASCHABER	Anton	0	0	0	3	0	0	0	KRONSCHLÄGER	Florian	0	0	0	2	0	1	7	
6	SOMMERER-HINTERBICHLER	Andreas	0	0	0	0	0	0	0	MATEI	Daniel	0	0	1	0	0	1	10	
7	RIESS	Rupert Jun	0	0	0	0	0	0	0	NATEA	Ilie	0	0	1	0	0	1	10	
8	ENGLMAIER	Tobias	0	0	1	0	0	1	10	MUSSNIG	Daniel	0	0	0	0	0	0	0	
9	MITTERFELLNER	Andreas	0	0	1	0	0	1	10	TIEFGRABER	Andreas	0	0	0	0	0	0	0	
10	WIMBERGER	Markus	0	0	0	2	0	1	10	PFEIFFER	Johannes	0	0	0	3	1	0	0	
11	HÖLLWART	Hermann	0	0	1	3	0	1	5	OBERMAYR	Stefan	0	0	0	2	0	0	0	
12	RIESS	Christian	0	0	0	3	0	0	0	KRONSCHLÄGER	Florian	0	0	0	2	0	1	7	
13	SOMMERER-HINTERBICHLER	Andreas	0	0	0	2	0	0	0	MATEI	Daniel	0	1	0	2	0	1	7	
14	RIESS	Rupert Jun	0	0	0	2	0	0	0	NATEA	Ilie	0	1	1	0	0	1	10	
1	PASOLLI	Ivo	1	0	1	0	0	1	10	MENDES	Manuel	0	0	0	0	0	0	0	
2	IVINGER	Erich	0	1	0	1	0	1	7	FELLNER	Hans-Peter	0	0	0	1	0	0	0	
3	GRASSMAIR	Severin	0	0	1	1	0	1	10	OBERROITHNER	Julian	0	0	0	0	0	0	0	
4	BüRGES	Milan	0	0	1	0	0	1	10	STEGMAYER	Dominik	0	0	0	1	0	0	0	
5	IMRE	Lehel	1	0	1	0	0	1	10	EDER	Marcus	0	0	0	0	0	0	0	
6	PREM	Gerhard	0	0	0	1	0	0	0	ABRAHAM	Elöd	0	1	1	0	0	1	10	
7	LINDNER	Florian	0	0	0	0	0	0	0	SIMIONESCU	Vladut	0	0	1	0	0	1	10	
8	PASOLLI	Ivo	0	0	1	0	0	1	10	MENDES	Manuel	0	0	0	0	0	0	0	
9	IVINGER	Erich	0	1	1	0	0	1	10	HAMINGER	Thomas	1	0	0	0	0	0	0	
10	GRASSMAIR	Severin	0	1	0	2	0	1	7	FELLNER	Hans-Peter	0	0	0	0	0	0	0	
11	ANGERER	Stefan	0	0	0	0	0	0	0	STEGMAYER	Dominik	3	1	0	0	0	1	7	
12	BüRGES	Milan	2	0	0	0	0	0	0	ABRAHAM	Elöd	0	1	0	2	0	1	7	
13	IMRE	Lehel	2	0	0	1	0	1	5	RIEGLER	Stefan	0	0	0	2	0	0	0	
14			0	0	0	0	0	0	0	SIMIONESCU	Vladut	0	0	1	0	0	1	10	
1	PÜHRINGER	Reinhold	0	0	1	0	0	1	10	HOFMANN	Lukas	0	0	0	0	0	0	0	
2	REITER	Georg	0	0	0	0	0	0	0	POHN	Bernhard	0	1	0	1	0	1	10	
3	SCHARINGER	Peter	2	0	0	0	0	1	5	SPITZER	Kevin	0	0	0	2	0	0	0	
4	PFISTERMÜLLER	Peter	0	1	0	1	0	1	7	SCHIRNHOFER	Felix	0	0	0	0	0	0	0	
5	GROISS	Thomas	1	0	0	0	0	0	0	SCHIRNHOFER	Maximilian	0	1	1	0	0	1	10	
6	MATYJASZEK	Przemyslaw	0	0	0	1	0	0	0	KRONBERGER	Stefan	0	0	0	0	0	0	0	
7	ALLERSTORFER	Daniel	1	0	0	2	0	0	0	BOR	Barna	1	0	0	2	0	0	0	
8	PÜHRINGER	Reinhold	0	0	0	0	0	0	0	HOFMANN	Nico	0	0	0	1	0	1	10	
9	REITER	Georg	1	1	1	0	0	1	10	MÜKISCH	Philipp	0	0	0	1	0	0	0	
10	SCHARINGER	Peter	0	0	1	0	0	1	10	SPITZER	Kevin	0	0	0	1	0	0	0	
11	PFISTERMÜLLER	Peter	1	0	0	3	0	0	0	SCHIRNHOFER	Felix	1	1	0	0	0	1	10	
12	SCHLÖGL	Martin	0	0	0	0	0	0	0	SCHIRNHOFER	Maximilian	0	0	1	0	0	1	10	
13	MATYJASZEK	Przemyslaw	1	0	0	1	0	1	5	KRONBERGER	Christoph	0	0	0	2	0	0	0	
14	ALLERSTORFER	Daniel	0	0	0	3	0	0	0	BOR	Barna	1	1	0	0	0	1	10	
1	HOFMANN	Lukas	0	0	0	0	0	0	0	HÖDL	Manuel	0	0	1	0	0	1	10	
2	POHN	Bernhard	0	0	0	0	0	0	0	LANG	Dominik	0	1	0	1	0	1	10	
3	SPITZER	Kevin	1	0	0	2	0	0	0	RIBITSCH	Stephan	1	0	1	2	0	1	10	
4	SCHIRNHOFER	Felix	1	0	0	1	0	1	5	GRASMUGG	Marc	0	0	0	2	0	0	0	
5	WARTBICHLER	Hannes	1	0	0	0	0	1	10	ACKERL	Philipp	0	0	0	1	0	0	0	
6	KRONBERGER	Stefan	0	0	1	0	0	1	10	MUJADZIC	Muhamed	0	0	0	0	0	0	0	
7	KRONBERGER	Christoph	0	1	0	0	0	1	7	BERTAGNOLI	Martin	0	0	0	1	0	0	0	
8	HOFMANN	Nico	2	0	0	2	0	1	5	HÖDL	Manuel	1	0	0	2	0	0	0	
9	POHN	Bernhard	0	0	0	1	0	0	0	LANG	Dominik	1	0	0	0	0	1	5	
10	PÖLZLEITHNER	Peter	2	0	0	2	0	0	0	RIBITSCH	Stephan	3	1	0	0	0	1	7	
11	SCHIRNHOFER	Felix	0	0	1	0	0	1	10	ACKERL	Thomas	0	0	0	0	0	0	0	
12	WARTBICHLER	Hannes	0	1	1	0	0	1	10	ACKERL	Philipp	0	0	0	3	0	0	0	
13	KRONBERGER	Christoph	0	0	1	0	0	1	10	MUJADZIC	Muhamed	0	0	0	0	0	0	0	
14	KRONBERGER	Stefan	0	0	1	1	0	1	10	BERTAGNOLI	Martin	0	0	0	1	0	0	0	
1	HAMINGER	Thomas	1	0	0	0	0	0	0	TIEFGRABER	Andreas	0	0	1	0	0	1	10	
2	FELLNER	Hans-Peter	0	0	1	0	0	1	10	WINDBICHLER	Tobias	0	0	0	1	0	0	0	
3	PAPP	Robert	0	0	0	0	0	0	0	PFEIFFER	Johannes	0	0	0	1	0	0	0	
4	STEGMAYER	Dominik	0	0	1	0	0	1	10	OBERMAYR	Stefan	0	0	0	0	0	0	0	
5	EDER	Marcus	0	0	0	1	0	0	0	HALAS	Marian	0	0	1	0	0	1	10	
6	RIEGLER	Stefan	0	0	0	1	0	0	0	MATEI	Daniel	0	0	0	0	0	1	10	
7	SIMIONESCU	Vladut	0	1	1	0	0	1	10	KRONSCHLÄGER	Florian	0	0	0	0	0	0	0	
8	MENDES	Manuel	0	0	0	1	0	0	0	TIEFGRABER	Andreas	1	0	1	1	0	1	10	
9	FELLNER	Hans-Peter	0	0	1	0	0	1	10	MUSSNIG	Daniel	0	0	0	0	0	0	0	
10	PAPP	Robert	0	0	0	1	0	0	0	PFEIFFER	Johannes	0	0	0	0	0	0	0	
11	STEGMAYER	Dominik	0	1	0	0	0	0	0	OBERMAYR	Stefan	2	2	0	1	0	1	10	
