Fight Number	Name 1	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Name 2	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
7		FILEK	Rafal	1	0	0	2	0	0	0		KRONBERGER	Stefan	1	0	0	0	0	0	0	
8		GARBACIK	Bartek	0	0	0	0	0	1	10		PRASCHL	Johannes	0	0	0	0	0	0	0	
9		STADLBAUER	Christian	0	0	0	0	0	0	0		STEGMUELLER	Roland	0	0	0	0	0	0	0	
10		SLATNER	Raphael	0	0	0	0	0	0	0		SCHNEIDER	Rene	1	0	1	0	0	1	10	
11		ZACHAR	Christian	1	1	0	0	0	1	10		SCHIRNHOFER	Felix	0	0	0	3	0	0	0	
12		KUBA	Sascha	0	0	0	0	0	0	0		SCHIRNHOFER	Maximilian	0	2	0	0	0	1	10	
13		RADLHERR	Christoph	0	0	0	1	0	0	0		KRONBERGER	Stefan	2	2	0	0	0	1	10	
14		FILEK	Rafal	1	0	0	1	0	1	5		KRONBERGER	Christoph	0	0	0	2	0	0	0	
1		HÖDL	Manuel	0	1	0	0	0	0	0		WALDHÖR	Dominik	0	2	0	0	0	1	10	
2		LANG	Dominik	3	0	0	0	0	1	5		JODL	Christoph	0	0	0	2	0	0	0	
3		NAKAMURA	Toshihide	0	0	1	1	0	1	10		MAYR	Bernhard	0	0	0	0	0	0	0	
4		MARIJANOVIC	Tomislav	0	0	1	0	0	1	10		OSTASZEWSKI	Dominik	0	0	0	0	0	0	0	
5		ACKERL	Philipp	0	0	0	0	0	0	0		RANDL	Milan	0	1	1	0	0	1	10	
6		KRPALEK	Lukas	0	0	1	0	0	1	10		ZEHETNER	Jan	0	0	0	0	0	0	0	
7		BERTAGNOLI	Martin	0	0	0	2	0	0	0		JURCIK	Pavol	1	0	1	1	0	1	10	
8		HÖDL	Manuel	0	0	0	0	0	0	0		WALDHÖR	Dominik	0	0	1	0	0	1	10	
9		LANG	Dominik	0	0	1	0	0	1	10		JODL	Christoph	0	0	0	1	0	0	0	
10		NAKAMURA	Toshihide	0	0	0	1	0	0	0		MAYR	Bernhard	0	0	0	1	0	0	0	
11		MARIJANOVIC	Tomislav	1	0	1	0	0	1	10		FROSCHAUER	Alexander	0	0	0	0	0	0	0	
12		RIBITSCH	Stephan	0	0	0	0	0	0	0		RANDL	Milan	0	0	1	0	0	1	10	
13		ACKERL	Philipp	0	0	0	0	0	0	0		ZEHETNER	Jan	0	0	1	0	0	1	10	
14		KRPALEK	Lukas	0	1	1	0	0	1	10		JURCIK	Pavol	0	0	0	3	0	0	0	
1		PÜHRINGER	Reinhold	0	1	1	0	0	1	10		WEIDLINGER	Lukas	0	0	0	0	0	0	0	
2		HUEMER	Mathias	0	1	1	0	0	1	10		TIEFGRABER	Andreas	0	0	0	0	0	0	0	
3		REITER	Georg	0	0	1	0	0	1	10		MUSSNIG	Daniel	0	0	0	0	0	0	0	
4		SCHAUBMAYR	Rene	0	1	1	0	0	1	10		FURCH	Lukas	0	0	0	0	0	0	0	
