Playoffs	Round	Weight Class	Fight Number	Team Name 1	First Name 1	Last Name 1	Score 1	Subscore 1	Ippon 1	Wazaari 1	Yuko 1	Koka 1	Shido 1	HSM 1	Team Name 2	First Name 2	Last Name 2	Score 2	Subscore 2	Ippon 2	Wazaari 2	Yuko 2	Koka 2	Shido 2	HSM 2	Source	Points 1	Points 2
P	1	-81 kg	3	Judo Union Raiffeisen Flachgau	Laszlo	Csoknyai	0	0	0	0	0	0	2	0	Volksbank Galaxy Judo Tigers	Marcel	Ott	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-90 kg	4	Judo Union Raiffeisen Flachgau	Christian	Pichler	0	0	0	0	0	0	2	0	Volksbank Galaxy Judo Tigers	Maximilian	Schneider	1	5	0	0	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	-100 kg	5	Judo Union Raiffeisen Flachgau	Christoph	Kronberger	1	10	1	0	0	0	0	0	Volksbank Galaxy Judo Tigers	Aaron	Fara	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	1	+100 kg	6	Judo Union Raiffeisen Flachgau	Michael	Korrel	1	10	0	2	1	0	0	0	Volksbank Galaxy Judo Tigers	Gabor	Geier	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-60 kg	7	Judo Union Raiffeisen Flachgau	Dominik	Waldhör	0	0	0	0	0	0	0	0	Volksbank Galaxy Judo Tigers	Denislav	Ivanov	1	5	0	0	1	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-66 kg	8	Judo Union Raiffeisen Flachgau	Nico	Hofmann	0	0	0	0	0	0	1	0	Volksbank Galaxy Judo Tigers	Stefan	Kudera	1	10	1	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-73 kg	9	Judo Union Raiffeisen Flachgau	Michael	Mayr	0	0	0	0	0	0	3	0	Volksbank Galaxy Judo Tigers	Christopher	Wagner	1	1	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-81 kg	10	Judo Union Raiffeisen Flachgau	Laszlo	Csoknyai	1	10	1	0	0	0	1	0	Volksbank Galaxy Judo Tigers	Marcel	Ott	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-90 kg	11	Judo Union Raiffeisen Flachgau	Steffen	Wagner	0	0	0	0	0	0	1	0	Volksbank Galaxy Judo Tigers	Maximilian	Schneider	1	10	1	1	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	-100 kg	12	Judo Union Raiffeisen Flachgau	Christoph	Kronberger	1	10	1	0	1	0	1	0	Volksbank Galaxy Judo Tigers	Aaron	Fara	0	0	0	0	1	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
P	2	+100 kg	13	Judo Union Raiffeisen Flachgau	Michael	Korrel	1	10	1	0	0	0	0	0	Volksbank Galaxy Judo Tigers	Gabor	Geier	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	1	-60 kg	0	SV Gallneukirchen	Valentin	Leonfellner	0	0	0	0	0	0	0	0	Swarovski Judo Wattens	Ivo	Pasolli	1	10	1	1	1	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	1	-66 kg	1	SV Gallneukirchen	Paul	Schmiderer	1	5	0	0	2	0	0	0	Swarovski Judo Wattens	Maximilian	Knapp	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	1	-73 kg	2	SV Gallneukirchen	Harald	Inreiter	1	10	1	0	0	0	0	0	Swarovski Judo Wattens	Florian	Happ	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	1	-81 kg	3	SV Gallneukirchen	Ralf	Albrecht	0	0	0	0	0	0	3	0	Swarovski Judo Wattens	Severin	Grassmair	1	5	0	0	1	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	1	-90 kg	4	SV Gallneukirchen	Martin	Mairhofer	1	10	0	0	0	0	0	0	Swarovski Judo Wattens			0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
G	1	-100 kg	5	SV Gallneukirchen	Patrick	Hanl	0	0	0	0	0	0	2	0	Swarovski Judo Wattens	Lehel-Csaba	Imre	1	10	0	2	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
