Fight Number	Last Name 1	First Name 1	Yuko 1	Wazaari 1	Ippon 1	Shido 1	HSM 1	Score 1	Subscore 1	Last Name 2	First Name 2	Yuko 2	Wazaari 2	Ippon 2	Shido 2	HSM 2	Score 2	Subscore 2	Source
2	HAMINGER	Thomas	1	0	1	1	0	1	10	WEIXELBAUMER	Tobias	0	0	0	1	0	0	0	
3	FELLNER	Hans-Peter	0	0	0	0	0	0	0	SHALA	Driton	0	0	1	0	0	1	10	
4	STEGMAYER	Dominik	1	0	0	2	0	1	5	FERCHER	Albert	0	0	0	3	0	0	0	
5	KAHLIG	Markus	0	1	0	2	0	1	7	SCHAUBMAYR	Rene	0	0	0	2	0	0	0	
6	HORAK	Michal	0	1	0	0	0	1	1	JURECKA	Alexandr	0	1	0	2	0	0	0	
7	RIEGLER	Stefan	0	0	0	2	0	0	0	ALLERSTORFER	Daniel	1	0	1	0	0	1	10	
8	BORCHASHVILI	Kimran	0	0	0	0	0	0	0	HUEMER	Mathias	0	1	1	1	0	1	10	
9	HAMINGER	Thomas	2	0	1	0	0	1	10	WEIXELBAUMER	Tobias	0	0	0	0	0	0	0	
10	LIEBENBERGER	Gregor	0	0	0	0	0	0	0	SHALA	Driton	0	0	1	0	0	1	10	
11	STEGMAYER	Dominik	0	0	0	0	0	1	10	SCHAUBMAYR	Rene	0	0	0	0	1	0	0	
12	KAHLIG	Markus	0	0	0	1	0	0	0	FERCHER	Albert	0	0	0	1	0	0	0	
13	HORAK	Michal	2	2	0	2	0	1	10	GERZER	Dominik	0	0	0	2	0	0	0	
14	RIEGLER	Stefan	0	0	0	2	0	0	0	ALLERSTORFER	Daniel	0	0	1	0	0	1	10	
1	PETRIKOV	Pavel	0	2	0	0	0	1	10	PRASCHL	Johannes	0	0	0	0	0	0	0	
2	SCHMIDHOFER	Thomas	0	0	0	1	0	0	0	HOFMANN	Nico	2	0	1	0	0	1	10	
3	MITTERFELLNER	Andreas	0	0	0	0	0	0	0	SCHNEIDER	Rene	0	1	1	2	0	1	10	
4	HÖLLWART	Hermann	0	0	0	3	0	0	0	CSOKNYAI	Laszlo	2	0	0	2	0	1	5	
5	DUMKE	Robert	0	0	1	1	0	1	10	PICHLER	Christian	0	0	0	1	0	0	0	
6	MAYER	Christoph	0	0	0	1	0	1	1	KRONBERGER	Christoph	0	0	0	2	0	0	0	
7	RIESS	Rupert Jun	0	0	0	0	0	1	10	KRONBERGER	Stefan	0	0	0	0	1	0	0	
8	PETRIKOV	Pavel	0	0	1	0	0	1	10	HOFMANN	Lukas	0	0	0	0	0	0	0	
9	GRÖSSIG	Gerald	0	0	0	0	0	0	0	HOFMANN	Nico	0	0	1	0	0	1	10	
10	MITTERFELLNER	Andreas	0	0	0	1	0	1	1	SCHNEIDER	Rene	0	0	0	2	0	0	0	
11	HÖLLWART	Hermann	0	0	0	4	0	0	0	CSOKNYAI	Laszlo	0	0	0	1	0	1	10	
12	DUMKE	Robert	0	0	0	0	1	0	0	STERNER	Thomas	0	0	0	0	0	1	10	
13	MAYER	Christoph	0	0	0	2	0	0	0	KRONBERGER	Christoph	0	0	0	1	0	1	1	
14	RIESS	Rupert Jun	0	0	0	0	0	0	0	KRONBERGER	Stefan	0	0	1	2	0	1	10	
