Round	Playoffs	Team Name 1	Team Name 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League	Broadcaster
2	G	SU Noricum Leibnitz	ASKÖ Graz 1	2. Judo Bundesliga Männer	2020	2020-04-25	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	ASKÖ Graz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	JUFA @ 8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	JUFA	2. Judo Bundesliga Männer	
2	G	JU Burgkirchen/Schwand	Union Graz	2. Judo Bundesliga Männer	2020	2020-04-25	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	U.BurgkirchenSchwand	UNION Graz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Mehrzweckhalle @ 5274 Burgkirchen, Pfarrhofstraße 5	5274	Burgkirchen	Pfarrhofstraße 5	Mehrzweckhalle	2. Judo Bundesliga Männer	
3	G	WSG Swarovski Judo Wattens	PSV Salzburg	2. Judo Bundesliga Männer	2020	2020-05-08	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	WSG Wattens	PSV Salzburg - Judo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Wattens @ Sebastian Schrott-Straße 7, 6112 Wattens	6112	Wattens	Sebastian Schrott-Straße 7	Dojo Wattens	2. Judo Bundesliga Männer	
3	G	ASKÖ Graz 1	Union Graz	2. Judo Bundesliga Männer	2020	2020-05-09	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Graz	UNION Graz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	ASKÖ Stadion @ 8020 Graz, Schloßstraße 20	8020	Graz	Schloßstraße 20	ASKÖ Stadion	2. Judo Bundesliga Männer	
3	G	JU Burgkirchen/Schwand	ASKÖ Reichraming	2. Judo Bundesliga Männer	2020	2020-05-16	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	U.BurgkirchenSchwand	ASKÖ Reichraming	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Mehrzweckhalle @ 5274 Burgkirchen, Pfarrhofstraße 5	5274	Burgkirchen	Pfarrhofstraße 5	Mehrzweckhalle	2. Judo Bundesliga Männer	
3	G	SU Noricum Leibnitz	SV Gallneukirchen	2. Judo Bundesliga Männer	2020	2020-06-20	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	SV Gallneukirchen	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	JUFA @ 8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	JUFA	2. Judo Bundesliga Männer	
4	G	SV Gallneukirchen	ASKÖ Graz 1	2. Judo Bundesliga Männer	2020	2020-05-16	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SV Gallneukirchen	ASKÖ Graz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Turnhalle NMS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstraße 10-12	4210	Gallneukirchen	Reichenauerstraße 10-12	Turnhalle NMS Gallneukirchen	2. Judo Bundesliga Männer	
4	G	PSV Salzburg	JU Burgkirchen/Schwand	2. Judo Bundesliga Männer	2020	2020-05-23	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	PSV Salzburg - Judo	U.BurgkirchenSchwand	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	2. Judo Bundesliga Männer	
4	G	Vienna Samurai	WSG Swarovski Judo Wattens	2. Judo Bundesliga Männer	2020	2020-05-23	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	WSG Wattens	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Bildungscampus @ 1220 Wien, Attemsgasse 22	1220	Wien	Attemsgasse 22	Bildungscampus	2. Judo Bundesliga Männer	
4	G	ASKÖ Reichraming	SU Noricum Leibnitz	2. Judo Bundesliga Männer	2020	2020-05-23	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	SU RB Leibnitz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @4452 Ternberg, Alois Derfler-Straße 4	4452	Ternberg	Alois Derfler-Straße 4	VS Ternberg	2. Judo Bundesliga Männer	
