Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Location	Plz	City	Address	Venue	Source
2	G	Judoclub Cafe+Co Vienna Samurai	5	40	Judo Union Raiffeisen Flachgau 1	6	60	Erste Judo-Bundesliga	2012	2012-05-26	17:00	Volksschule Lassee @ 2291 Lassee, Stift Melk Gasse 2	2291	Lassee	Stift Melk Gasse 2	Volksschule Lassee	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
3	G	Judo Union Raika Pinzgau	2	15	Judoclub Cafe+Co Vienna Samurai	10	90	Erste Judo-Bundesliga	2012	2012-05-18	20:00	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
3	G	UJZ Mühlviertel 1	12	114	WSG Swarovski Wattens	1	10	Erste Judo-Bundesliga	2012	2012-05-19	19:00	Gramaphon @ 4201 Gramastetten, Marktstraße 17	4201	Gramastetten	Marktstraße 17	Gramaphon	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
3	G	PSV Salzburg - Judo	5	50	Volksbank Galaxy Judo Tigers	9	85	Erste Judo-Bundesliga	2012	2012-05-19	17:00	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg	5020	Salzburg		PSV Sportzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
3	G	Bulldogs Vöcklabruck	4	40	Judo Union Raiffeisen Flachgau 1	8	80	Erste Judo-Bundesliga	2012	2012-05-19	19:00	Bezirkssporthalle Vöcklabruck @ 4840 Vöcklabruck, Bahnhofstraße 44	4840	Vöcklabruck	Bahnhofstraße 44	Bezirkssporthalle Vöcklabruck	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
4	G	Judoclub Cafe+Co Vienna Samurai	7	70	PSV Salzburg - Judo	6	49	Erste Judo-Bundesliga	2012	2012-05-25	20:00	Volksschule Lassee @ 2291 Lassee, Stift Melk Gasse 2	2291	Lassee	Stift Melk Gasse 2	Volksschule Lassee	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
4	G	Volksbank Galaxy Judo Tigers	12	115	Bulldogs Vöcklabruck	1	10	Erste Judo-Bundesliga	2012	2012-05-25	20:00	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstraße 65	2380	Perchtoldsdorf	Brunnerfeldstraße 65	Dojo Galaxytigers	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
4	G	Judo Union Raiffeisen Flachgau 1	9	87	Judo Union Raika Pinzgau	5	44	Erste Judo-Bundesliga	2012	2012-05-25	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
4	G	WSG Swarovski Wattens	5	45	SU Noricum Raiffeisen Leibnitz 1	6	50	Erste Judo-Bundesliga	2012	2012-05-25	20:00	Sporthalle Wattens @ 6112 Wattens, Egger-Lienz-Strasse 9	6112	Wattens	Egger-Lienz-Strasse 9	Sporthalle Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
5	G	Volksbank Galaxy Judo Tigers	7	70	Judo Union Raiffeisen Flachgau 1	3	25	Erste Judo-Bundesliga	2012	2012-09-14	20:00	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstraße 65	2380	Perchtoldsdorf	Brunnerfeldstraße 65	Dojo Galaxytigers	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
