Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Location	Plz	City	Address	Venue	Source
3	G	Judozentrum Innsbruck	5	50	UJZ Mühlviertel 2	9	87	Zweite Judo-Bundesliga	2012	2012-05-19	19:00	Leitgebhalle @ 6020 Innsbruck, Pradlerstraße 16	6020	Innsbruck	Pradlerstraße 16	Leitgebhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
3	G	Judoteam SHIAI-DO Union Thermenregion	7	53	SV Gallneukirchen	6	41	Zweite Judo-Bundesliga	2012	2012-05-19	19:00	Festsaal Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Festsaal Franz Fürst Freizeitzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
3	G	LZ Multikraft Wels	10	100	Judo Union Raiffeisen Flachgau 2	3	30	Zweite Judo-Bundesliga	2012	2012-05-19	20:00	Budokan Wels @ 4600 Wels, Pulverturmstraß 5	4600	Wels	Pulverturmstraß 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
3	G	SU Noricum Raiffeisen Leibnitz 2	5	50	ESV Sanjindo Bischofshofen	9	82	Zweite Judo-Bundesliga	2012	2012-05-18	20:00	Sportcampus Leibnitz @ 8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	Sportcampus Leibnitz	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
4	G	Judozentrum Innsbruck	10	100	ESV Sanjindo Bischofshofen	4	40	Zweite Judo-Bundesliga	2012	2012-05-26	19:00	Leitgebhalle @ 6020 Innsbruck, Pradlerstraße 16	6020	Innsbruck	Pradlerstraße 16	Leitgebhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
4	G	SV Gallneukirchen	9	82	Judo Union Raiffeisen Flachgau 2	5	50	Zweite Judo-Bundesliga	2012	2012-05-26	19:00	HS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstrasse 2	4210	Gallneukirchen	Reichenauerstrasse 2	HS Gallneukirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
4	G	UJZ Mühlviertel 2	7	57	Judoteam SHIAI-DO Union Thermenregion	7	62	Zweite Judo-Bundesliga	2012	2012-05-26	19:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
4	G	UNION Kirchham	4	40	SU Noricum Raiffeisen Leibnitz 2	6	37	Zweite Judo-Bundesliga	2012	2012-05-26	20:00	Mehrzweckhalle Kirchham @ 4656 Kirchham	4656	Kirchham		Mehrzweckhalle Kirchham	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
5	G	SU Noricum Raiffeisen Leibnitz 2	6	50	Judozentrum Innsbruck	7	67	Zweite Judo-Bundesliga	2012	2012-09-15	19:00	Leitgebhalle @ 6020 Innsbruck, Pradlerstraße 16	6020	Innsbruck	Pradlerstraße 16	Leitgebhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
5	G	Judoteam SHIAI-DO Union Thermenregion	6	55	UNION Kirchham	7	70	Zweite Judo-Bundesliga	2012	2012-09-15	19:00	Festsaal Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Festsaal Franz Fürst Freizeitzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
5	G	ESV Sanjindo Bischofshofen	3	30	Judo Union Raiffeisen Flachgau 2	10	100	Zweite Judo-Bundesliga	2012	2012-09-15	18:00	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
5	G	UJZ Mühlviertel 2	10	90	LZ Multikraft Wels	4	40	Zweite Judo-Bundesliga	2012	2012-09-15	19:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
6	G	SU Noricum Raiffeisen Leibnitz 2	2	17	UJZ Mühlviertel 2	10	95	Zweite Judo-Bundesliga	2012	2012-10-06	15:00	Turnhalle des BG&BRG Leibnitz @ 8430 Leibnitz, Wagnastraße 6	8430	Leibnitz	Wagnastraße 6	Turnhalle des BG&BRG Leibnitz	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
6	G	ESV Sanjindo Bischofshofen	2	20	Judoteam SHIAI-DO Union Thermenregion	8	65	Zweite Judo-Bundesliga	2012	2012-10-06	18:00	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
6	G	LZ Multikraft Wels	9	87	UNION Kirchham	4	40	Zweite Judo-Bundesliga	2012	2012-10-06	20:00	Budokan Wels @ 4600 Wels, Pulverturmstraß 5	4600	Wels	Pulverturmstraß 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
6	G	SV Gallneukirchen	10	92	Judozentrum Innsbruck	2	20	Zweite Judo-Bundesliga	2012	2012-10-06	19:00	HS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstrasse 2	4210	Gallneukirchen	Reichenauerstrasse 2	HS Gallneukirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
7	G	Judo Union Raiffeisen Flachgau 2	7	65	UNION Kirchham	7	70	Zweite Judo-Bundesliga	2012	2012-10-12	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
7	G	Judozentrum Innsbruck	5	50	Judoteam SHIAI-DO Union Thermenregion	8	74	Zweite Judo-Bundesliga	2012	2012-10-13	19:00	Dojo Wattens @ Sebastian Schrott-Straße 7, 6112 Wattens	6112	Wattens	Sebastian Schrott-Straße 7	Dojo Wattens	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
7	G	SV Gallneukirchen	11	110	ESV Sanjindo Bischofshofen	3	30	Zweite Judo-Bundesliga	2012	2012-10-13	19:00	HS Gallneukirchen @ 4210 Gallneukirchen, Reichenauerstrasse 2	4210	Gallneukirchen	Reichenauerstrasse 2	HS Gallneukirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
7	G	SU Noricum Raiffeisen Leibnitz 2	5	37	LZ Multikraft Wels	7	65	Zweite Judo-Bundesliga	2012	2012-10-12	20:00	Sporthalle Lichtenegg @ 4600 Wels, Dragonerstr. 50	4600	Wels	Dragonerstr. 50	Sporthalle Lichtenegg	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
8	G	Judo Union Raiffeisen Flachgau 2	9	87	SU Noricum Raiffeisen Leibnitz 2	5	44	Zweite Judo-Bundesliga	2012	2012-10-20	17:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
8	G	LZ Multikraft Wels	5	50	Judoteam SHIAI-DO Union Thermenregion	7	56	Zweite Judo-Bundesliga	2012	2012-10-19	20:00	Budokan Wels @ 4600 Wels, Pulverturmstraß 5	4600	Wels	Pulverturmstraß 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
8	G	UNION Kirchham	9	90	ESV Sanjindo Bischofshofen	5	47	Zweite Judo-Bundesliga	2012	2012-10-19	20:00	Mehrzweckhalle Kirchham @ 4656 Kirchham	4656	Kirchham		Mehrzweckhalle Kirchham	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
8	G	UJZ Mühlviertel 2	5	50	SV Gallneukirchen	9	77	Zweite Judo-Bundesliga	2012	2012-10-20	17:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
9	G	ESV Sanjindo Bischofshofen	2	15	UJZ Mühlviertel 2	12	117	Zweite Judo-Bundesliga	2012	2012-11-10	19:00	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
9	G	Judoteam SHIAI-DO Union Thermenregion	5	50	Judo Union Raiffeisen Flachgau 2	7	65	Zweite Judo-Bundesliga	2012	2012-11-10	19:00	Ballspielhalle Franz Fürst Freizeitzentrum @ 2351 Wiener Neudorf, Eumigweg 1-3	2351	Wiener Neudorf	Eumigweg 1-3	Ballspielhalle Franz Fürst Freizeitzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
9	G	UNION Kirchham	7	54	SV Gallneukirchen	7	64	Zweite Judo-Bundesliga	2012	2012-11-10	19:00	Mehrzweckhalle Kirchham @ 4656 Kirchham	4656	Kirchham		Mehrzweckhalle Kirchham	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
9	G	Judozentrum Innsbruck	6	57	LZ Multikraft Wels	6	57	Zweite Judo-Bundesliga	2012	2012-11-10	19:00	Dojo Wattens: Sebastian Schrott-Straße 7, 6112 Wattens	6112	Wattens	Dojo Wattens: Sebastian Schrott-Straße 7		{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20121229092007/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2012-12-29 |abruf=2026-01-04}}
	G (Pool A)	UJZ Mühlviertel	4		Shiaido Wr. Neudorf	1				2012-11-02		Leitgebhalle @ Innsbruck		Innsbruck		Leitgebhalle	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	G (Pool A)	JU Pinzgau	3		Shiaido Wr. Neudorf	2				2012-11-02		Leitgebhalle @ Innsbruck		Innsbruck		Leitgebhalle	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	G (Pool A)	JU Pinzgau			UJZ Mühlviertel					2012-11-02		Leitgebhalle @ Innsbruck		Innsbruck		Leitgebhalle	{{Internetquelle |url=https://www.judoaustria.at/jz-innsbruck-frauen-staatsmeister/ |titel=JZ Innsbruck Frauen-Staatsmeister |werk=Judo Austria |datum=2012-11-03 |sprache=de-DE |abruf=2025-02-06}}
	G (Pool B)	JZ Innsbruck	5		PSV Salzburg	0				2012-11-02		Leitgebhalle @ Innsbruck		Innsbruck		Leitgebhalle	{{Internetquelle |url=https://web.archive.org/web/20121206060601/http://www.judozentrum.at/ |titel=Unsere Damenmannschaft-Staatsmeister 2012 |werk=Judozentrum Innsbruck |hrsg=Judozentrum Innsbruck |datum=2012-11-02 |sprache=de |abruf=2025-02-15}}
	G (Pool B)	JZ Innsbruck	5		Galaxy Tigers	0				2012-11-02		Leitgebhalle @ Innsbruck		Innsbruck		Leitgebhalle	{{Internetquelle |url=http://www.judo-creativ.at/bericht.html?aid=780 |titel=Gold für Tini bei der Staatsmeisterschaft der Damenmannschaften |werk=Judo CREATIV Graz |hrsg=Judo CREATIV Graz |datum=2012-12-21 |sprache=de |archiv-url=https://web.archive.org/web/20121221025928/http://www.judo-creativ.at/bericht.html?aid=780 |archiv-datum=2012-12-21 |abruf=2025-02-15}}
	G (Pool B)	Galaxy Tigers			PSV Salzburg					2012-11-02		Leitgebhalle @ Innsbruck		Innsbruck		Leitgebhalle	{{Internetquelle |url=https://www.judoaustria.at/jz-innsbruck-frauen-staatsmeister/ |titel=JZ Innsbruck Frauen-Staatsmeister |werk=Judo Austria |datum=2012-11-03 |sprache=de-DE |abruf=2025-02-06}}
	P (Place 2/4) 1	JZ Innsbruck	3		JU Pinzgau	2				2012-11-02		Leitgebhalle @ Innsbruck		Innsbruck		Leitgebhalle	{{Internetquelle |url=https://www.judoaustria.at/jz-innsbruck-frauen-staatsmeister/ |titel=JZ Innsbruck Frauen-Staatsmeister |werk=Judo Austria |datum=2012-11-03 |sprache=de-DE |abruf=2025-02-06}}
	P (Place 2/4) 2	UJZ Mühlviertel			Galaxy Tigers					2012-11-02		Leitgebhalle @ Innsbruck		Innsbruck		Leitgebhalle	{{Internetquelle |url=https://www.judoaustria.at/jz-innsbruck-frauen-staatsmeister/ |titel=JZ Innsbruck Frauen-Staatsmeister |werk=Judo Austria |datum=2012-11-03 |sprache=de-DE |abruf=2025-02-06}}
	P (Place 1/2)	JZ Innsbruck	3		UJZ Mühlviertel	2				2012-11-02		Leitgebhalle @ Innsbruck		Innsbruck		Leitgebhalle	{{Internetquelle |url=https://www.judoaustria.at/jz-innsbruck-frauen-staatsmeister/ |titel=JZ Innsbruck Frauen-Staatsmeister |werk=Judo Austria |datum=2012-11-03 |sprache=de-DE |abruf=2025-02-06}}
