Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Source	Team Organization 1	Team Organization 2	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	Location	Plz	City	Address	Venue	League	Broadcaster
3	G	JU Raika Pinzgau	4	40	Volksbank Galaxy Judotigers	10	97	1. Judo Bundesliga Männer	2019	2019-04-26	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Rauris @5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	NMS Rauris	1. Judo Bundesliga Männer	
3	G	ESV Sanjindo	2	20	JC Wimpassing Sparkasse	12	114	1. Judo Bundesliga Männer	2019	2019-04-27	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Tennishalle ESV Sportzentrum @5500 Bischofshofen, Freizeitweg 10	5500	Bischofshofen	Freizeitweg 10	Tennishalle ESV Sportzentrum	1. Judo Bundesliga Männer	
3	G	ASKÖ Reichraming	2	20	UJZ Mühlviertel 1	12	117	1. Judo Bundesliga Männer	2019	2019-04-27	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @4452 Ternberg, Alois Derfler-Straße 4	4452	Ternberg	Alois Derfler-Straße 4	VS Ternberg	1. Judo Bundesliga Männer	
3	G	JU DynamicOne	8	77	JU Raiffeisen Flachgau	6	60	1. Judo Bundesliga Männer	2019	2019-04-27	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum @4101 Feldkirchen/Donau,Schulstraße 12	4101	Feldkirchen/Donau	Schulstraße 12	Veranstaltungszentrum	1. Judo Bundesliga Männer	ORF Sport+
4	G	JU Raiffeisen Flachgau	13	124	ASKÖ Reichraming	1	10	1. Judo Bundesliga Männer	2019	2019-05-03	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	ASKÖ Reichraming	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	ORF Sport+
4	G	UJZ Mühlviertel 1	9	81	ESV Sanjindo	5	50	1. Judo Bundesliga Männer	2019	2019-05-04	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Josef Reiter Halle @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	Josef Reiter Halle	1. Judo Bundesliga Männer	
4	G	LZ Multikraft Wels	8	77	JU DynamicOne	6	57	1. Judo Bundesliga Männer	2019	2019-05-04	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	
4	G	JC Wimpassing Sparkasse	8	80	JU Raika Pinzgau	6	57	1. Judo Bundesliga Männer	2019	2019-06-29	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	
5	G	LZ Multikraft Wels	8	77	ESV Sanjindo	6	57	1. Judo Bundesliga Männer	2019	2019-05-17	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	ORF Sport+
5	G	JU Raiffeisen Flachgau	10	97	JU Raika Pinzgau	4	40	1. Judo Bundesliga Männer	2019	2019-05-17	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
5	G	UJZ Mühlviertel 1	6	57	Volksbank Galaxy Judotigers	8	74	1. Judo Bundesliga Männer	2019	2019-05-18	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Josef Reiter Halle @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	Josef Reiter Halle	1. Judo Bundesliga Männer	
5	G	JU DynamicOne	9	87	ASKÖ Reichraming	5	50	1. Judo Bundesliga Männer	2019	2019-05-25	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	ASKÖ Reichraming	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum @4101 Feldkirchen/Donau,Schulstraße 12	4101	Feldkirchen/Donau	Schulstraße 12	Veranstaltungszentrum	1. Judo Bundesliga Männer	
6	G	Volksbank Galaxy Judotigers	11	107	JC Wimpassing Sparkasse	3	30	1. Judo Bundesliga Männer	2019	2019-06-07	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	BSFZ Südstadt @ 2344 Maria Enzersdorf, Liese Prokop-Platz 1	2344	Maria Enzersdorf	Liese Prokop-Platz 1	BSFZ Südstadt	1. Judo Bundesliga Männer	ORF Sport+
6	G	JU Raika Pinzgau	1	10	UJZ Mühlviertel 1	13	124	1. Judo Bundesliga Männer	2019	2019-06-07	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Rauris @5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	NMS Rauris	1. Judo Bundesliga Männer	
6	G	ESV Sanjindo	7	64	JU Raiffeisen Flachgau	7	67	1. Judo Bundesliga Männer	2019	2019-06-08	17:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer	
6	G	ASKÖ Reichraming	2	20	LZ Multikraft Wels	12	117	1. Judo Bundesliga Männer	2019	2019-06-08	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @4452 Ternberg, Alois Derfler-Straße 4	4452	Ternberg	Alois Derfler-Straße 4	VS Ternberg	1. Judo Bundesliga Männer	
7	G	JU Raiffeisen Flachgau	8	80	JC Wimpassing Sparkasse	6	57	1. Judo Bundesliga Männer	2019	2019-09-27	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Flachgau	JC Wimpassing	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	1. Judo Bundesliga Männer	
7	G	LZ Multikraft Wels	3	27	Volksbank Galaxy Judotigers	11	107	1. Judo Bundesliga Männer	2019	2019-09-28	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	LZ Multikraft Wels	Galaxy Judo Tigers	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Budokan Wels @ 4600 Wels, Pulverturmstraße 5	4600	Wels	Pulverturmstraße 5	Budokan Wels	1. Judo Bundesliga Männer	
7	G	ASKÖ Reichraming	11	110	ESV Sanjindo	3	27	1. Judo Bundesliga Männer	2019	2019-09-28	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	ASKÖ Reichraming	JC Sanjindo	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	VS Ternberg @4452 Ternberg, Alois Derfler-Straße 4	4452	Ternberg	Alois Derfler-Straße 4	VS Ternberg	1. Judo Bundesliga Männer	
7	G	JU DynamicOne	9	87	JU Raika Pinzgau	5	50	1. Judo Bundesliga Männer	2019	2019-09-28	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU DynamicOne	JU Pinzgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Veranstaltungszentrum @4101 Feldkirchen/Donau,Schulstraße 12	4101	Feldkirchen/Donau	Schulstraße 12	Veranstaltungszentrum	1. Judo Bundesliga Männer	
8	G	JC Wimpassing Sparkasse	8	77	UJZ Mühlviertel 1	6	57	1. Judo Bundesliga Männer	2019	2019-09-20	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	UJZ Mühlviertel	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	ORF Sport+
8	G	Volksbank Galaxy Judotigers	6	60	JU Raiffeisen Flachgau	8	80	1. Judo Bundesliga Männer	2019	2019-10-04	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
8	G	JU Raika Pinzgau	4	40	LZ Multikraft Wels	10	97	1. Judo Bundesliga Männer	2019	2019-10-04	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Rauris @5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	NMS Rauris	1. Judo Bundesliga Männer	
8	G	ESV Sanjindo	7	67	JU DynamicOne	7	64	1. Judo Bundesliga Männer	2019	2019-10-05	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	1. Judo Bundesliga Männer	
9	G	Volksbank Galaxy Judotigers	7	67	JU DynamicOne	7	61	1. Judo Bundesliga Männer	2019	2019-10-12	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Galaxy Judo Tigers	JU DynamicOne	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	1. Judo Bundesliga Männer	
9	G	JU Raika Pinzgau	13	130	ASKÖ Reichraming	1	10	1. Judo Bundesliga Männer	2019	2019-10-12	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JU Pinzgau	ASKÖ Reichraming	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	NMS Rauris @5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	NMS Rauris	1. Judo Bundesliga Männer	ORF Sport+
9	G	UJZ Mühlviertel 1	10	100	JU Raiffeisen Flachgau	4	40	1. Judo Bundesliga Männer	2019	2019-10-12	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JU Flachgau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle NMS Hellmonsödt @ 4202 Hellmonsödt, Försterstrasse 2	4202	Hellmonsödt	Försterstrasse 2	Sporthalle NMS Hellmonsödt	1. Judo Bundesliga Männer	
9	G	JC Wimpassing Sparkasse	5	50	LZ Multikraft Wels	9	90	1. Judo Bundesliga Männer	2019	2019-10-12	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	LZ Multikraft Wels	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	1. Judo Bundesliga Männer	
7	P	ESV Sanjindo	10	91	UJZ Mühlviertel	2	20	Final4 Damen-Bundesliga	2019	2019-11-16T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	UJZ Mühlviertel	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	SHS Niederwaldkirchen @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	Final4 Damen-Bundesliga	
8	P	Team Wien	2	20	JC Wimpassing Sparkasse	12	120	Final4 Damen-Bundesliga	2019	2019-11-16T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JC Wimpassing	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	SHS Niederwaldkirchen @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	Final4 Damen-Bundesliga	
1	G	Team Wien	11	110	UJZ Mühlviertel	3	30	Damen-Bundesliga	2019	2019-04-27T00:00:00.000Z	15:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	UJZ Mühlviertel	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Bildungscamp Attemsgasse @ 1220 Wien, Attemsgasse 22	1220	Wien	Attemsgasse 22	Bildungscamp Attemsgasse	Damen-Bundesliga	
2	G	UJZ Mühlviertel	6	60	ESV Sanjindo	8	80	Damen-Bundesliga	2019	2019-05-04T00:00:00.000Z	18:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JC Sanjindo	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Josef Reiter Halle @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	Josef Reiter Halle	Damen-Bundesliga	
3	G	Team Wien	5	47	JC Wimpassing Sparkasse	9	90	Damen-Bundesliga	2019	2019-05-18T00:00:00.000Z	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Vienna Samurai	JC Wimpassing	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Bildungscamp Attemsgasse @ 1220 Wien, Attemsgasse 22	1220	Wien	Attemsgasse 22	Bildungscamp Attemsgasse	Damen-Bundesliga	
4	G	ESV Sanjindo	7	61	Team Wien	7	67	Damen-Bundesliga	2019	2019-06-08T00:00:00.000Z	17:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Sanjindo	Vienna Samurai	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstr. 15	5500	Bischofshofen	Sportplatzstr. 15	Hermann Wielandnerhalle	Damen-Bundesliga	
5	G	UJZ Mühlviertel	1	7	JC Wimpassing Sparkasse	13	130	Damen-Bundesliga	2019	2019-06-28T00:00:00.000Z	20:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	UJZ Mühlviertel	JC Wimpassing	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Josef Reiter Halle @4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	Josef Reiter Halle	Damen-Bundesliga	
6	G	JC Wimpassing Sparkasse	11	110	ESV Sanjindo	3	30	Damen-Bundesliga	2019	2019-09-28T00:00:00.000Z	19:30:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	JC Wimpassing	JC Sanjindo	-48	-52	-57	-63	-70	-78	+78	-48	-52	-57	-63	-70	-78	+78	Sporthalle Wimpassing @ 2632 Wimpassing,Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	Damen-Bundesliga	
1	G	Union Kirchham	7	64	WAT Stadlau	7	67	2. Judo Bundesliga Männer	2019	2019-03-23	19:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Judo UNION Kirchham	WAT Stadlau	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	MZH Kirchham @4656 Kirchham 34/2	4656	Kirchham 34/2	4656 Kirchham 34/2	MZH Kirchham	2. Judo Bundesliga Männer	
1	G	SU Noricum Leibnitz	10	100	WSG Swarovski Judo Wattens	4	40	2. Judo Bundesliga Männer	2019	2019-04-13	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	SU RB Leibnitz	WSG Wattens	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	Jufa Leibnitz @8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	Jufa Leibnitz	2. Judo Bundesliga Männer	
1	G	PSV Salzburg	6	60	Union Graz	8	71	2. Judo Bundesliga Männer	2019	2019-04-13	17:00:00	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	PSV Salzburg - Judo	UNION Graz	-60	-66	-73	-81	-90	-100	+100	-60	-66	-73	-81	-90	-100	+100	PSV Sportzentrum @5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	2. Judo Bundesliga Männer	
