Round	Playoffs	Team Name 1	Score 1	Subscore 1	Team Name 2	Score 2	Subscore 2	League	Season	CompetitionStart	Time	Location	Plz	City	Address	Venue	Source
4	G	Rapso-Bulldogs	3	27	Volksbank Galaxy Judo Tigers	11	101	Erste Judo-Bundesliga	2013	2013-05-25	19:00	Volksschule @ 4072 Alkoven, Schulstraße 1	4072	Alkoven	Schulstraße 1	Volksschule	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
4	G	Judo Union Raika Pinzgau	6	42	Judo Union Raiffeisen Flachgau	8	66	Erste Judo-Bundesliga	2013	2013-05-24	20:00	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
4	G	SU Noricum Raiffeisenbank Leibnitz Judo 1	7	65	Multikraft Wels	7	65	Erste Judo-Bundesliga	2013	2013-05-25	19:30	Mehrzweckhalle @ 8431 Gralla, Schulstrasse 5	8431	Gralla	Schulstrasse 5	Mehrzweckhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
4	G	PSV Salzburg	5	39	cafe+co Vienna Samurai 1	8	71	Erste Judo-Bundesliga	2013	2013-05-25	17:00	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
5	G	SU Noricum Raiffeisenbank Leibnitz Judo 1	4	40	cafe+co Vienna Samurai 1	10	91	Erste Judo-Bundesliga	2013	2013-06-22	19:30	JUFA Leibnitz @ 8430 Leibnitz, Klostergasse 37	8430	Leibnitz	Klostergasse 37	JUFA Leibnitz	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
5	G	Judo Union Raiffeisen Flachgau	5	45	Volksbank Galaxy Judo Tigers	8	68	Erste Judo-Bundesliga	2013	2013-06-21	20:00	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
5	G	UJZ Mühlviertel 1	8	80	Judo Union Raika Pinzgau	4	26	Erste Judo-Bundesliga	2013	2013-06-22	19:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
5	G	Multikraft Wels	7	70	PSV Salzburg	7	50	Erste Judo-Bundesliga	2013	2013-06-21	20:00	Budokan Wels @ 4600 Wels, Pulverturmstraß 5	4600	Wels	Pulverturmstraß 5	Budokan Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
6	G	cafe+co Vienna Samurai 1	8	80	Multikraft Wels	6	57	Erste Judo-Bundesliga	2013	2013-07-05	20:00	Sportzentrum Strebersdorf @1210 Wien, Anton Böckstraße 22	1210	Wien	Anton Böckstraße 22	Sportzentrum Strebersdorf	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
6	G	UJZ Mühlviertel 1	11	110	SU Noricum Raiffeisenbank Leibnitz Judo 1	3	30	Erste Judo-Bundesliga	2013	2013-07-06	19:30	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
6	G	Judo Union Raika Pinzgau	11	102	Rapso-Bulldogs	2	10	Erste Judo-Bundesliga	2013	2013-07-05	20:00	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
6	G	PSV Salzburg	3	24	Judo Union Raiffeisen Flachgau	10	95	Erste Judo-Bundesliga	2013	2013-07-06	17:00	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
7	G	PSV Salzburg	6	57	SU Noricum Raiffeisenbank Leibnitz Judo 1	8	68	Erste Judo-Bundesliga	2013	2013-10-12	17:00	PSV Sportzentrum @ 5020 Salzburg, Frohnburgweg 5	5020	Salzburg	Frohnburgweg 5	PSV Sportzentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
7	G	Volksbank Galaxy Judo Tigers	9	85	cafe+co Vienna Samurai 1	4	32	Erste Judo-Bundesliga	2013	2013-10-11	20:00	Dojo Galaxytigers @ 2380 Perchtoldsdorf, Brunnerfeldstrasse 65	2380	Perchtoldsdorf	Brunnerfeldstrasse 65	Dojo Galaxytigers	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
7	G	Multikraft Wels	5	50	Judo Union Raika Pinzgau	9	87	Erste Judo-Bundesliga	2013	2013-10-12	19:00	Raiffeisenarena Wels @ 4600 Wels, Dragonerstrasse 50	4600	Wels	Dragonerstrasse 50	Raiffeisenarena Wels	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
7	G	Rapso-Bulldogs	3	25	UJZ Mühlviertel 1	11	104	Erste Judo-Bundesliga	2013	2013-10-11	20:00	Neue Mittelschule @ 4072 Alkoven, Schulstrasse 1	4072	Alkoven	Schulstrasse 1	Neue Mittelschule	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
8	G	Volksbank Galaxy Judo Tigers	8	71	Judo Union Raika Pinzgau	6	52	Erste Judo-Bundesliga	2013	2013-11-02	18:00	Siegfried-Ludwig-Halle @ 2380 Perchtoldsdorf, Plättenstraße 2	2380	Perchtoldsdorf	Plättenstraße 2	Siegfried-Ludwig-Halle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
8	G	SU Noricum Raiffeisenbank Leibnitz Judo 1	3	30	Judo Union Raiffeisen Flachgau	11	93	Erste Judo-Bundesliga	2013	2013-11-02	17:30	Mehrzweckhalle @ 8431 Gralla, Schulstrasse 5	8431	Gralla	Schulstrasse 5	Mehrzweckhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
8	G	Rapso-Bulldogs	3	30	PSV Salzburg	11	105	Erste Judo-Bundesliga	2013	2013-11-02	20:00	Neue Mittelschule @ 4072 Alkoven, Schulstrasse 1	4072	Alkoven	Schulstrasse 1	Neue Mittelschule	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
8	G	cafe+co Vienna Samurai 1	6	48	UJZ Mühlviertel 1	8	80	Erste Judo-Bundesliga	2013	2013-11-02	19:30	Sportzentrum Strebersdorf @1210 Wien, Anton Böckstraße 22	1210	Wien	Anton Böckstraße 22	Sportzentrum Strebersdorf	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
9	G	Judo Union Raika Pinzgau	11	96	SU Noricum Raiffeisenbank Leibnitz Judo 1	3	25	Erste Judo-Bundesliga	2013	2013-11-09	19:30	Sporthalle Hauptschule Rauris @ 5661 Rauris, Schulweg 3	5661	Rauris	Schulweg 3	Sporthalle Hauptschule Rauris	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
9	G	Judo Union Raiffeisen Flachgau	9	90	Multikraft Wels	5	42	Erste Judo-Bundesliga	2013	2013-11-09	19:30	Gerhard Dorfingerhalle @ 5204 Straßwalchen, Aichbergstraße 1	5204	Straßwalchen	Aichbergstraße 1	Gerhard Dorfingerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
9	G	UJZ Mühlviertel 1	10	95	Volksbank Galaxy Judo Tigers	3	30	Erste Judo-Bundesliga	2013	2013-11-09	19:30	Sporthalle HS Hellmonsödt @ 4202 Hellmonsödt, Försterstrasse 2	4202	Hellmonsödt	Försterstrasse 2	Sporthalle HS Hellmonsödt	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
9	G	cafe+co Vienna Samurai 1	11	101	Rapso-Bulldogs	3	30	Erste Judo-Bundesliga	2013	2013-11-09	19:30	Sportzentrum Strebersdorf @1210 Wien, Anton Böckstraße 22	1210	Wien	Anton Böckstraße 22	Sportzentrum Strebersdorf	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
1	G	UJZ Mühlviertel 2	10	100	Swarovski Judo Wattens	4	29	Zweite Judo-Bundesliga	2013	2013-03-16	17:00	Gramaphon @ 4201 Gramastetten, Marktstraße 17	4201	Gramastetten	Marktstraße 17	Gramaphon	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
1	G	Cafe+co Vienna Samurai 2	6	60	Sanjindo Tigers	8	77	Zweite Judo-Bundesliga	2013	2013-03-15	20:00	Sportzentrum Strebersdorf @ 1210 Wien, Anton Böckstraße 22	1210	Wien	Anton Böckstraße 22	Sportzentrum Strebersdorf	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
1	G	JC Wimpassing Sparkasse	7	55	SU Noricum Raiffeisenbank Leibnitz Judo 2	6	51	Zweite Judo-Bundesliga	2013	2013-03-16	19:00	Sporthalle Wimpassing @ 2632 Wimpassing, Bundesstraße 42	2632	Wimpassing	Bundesstraße 42	Sporthalle Wimpassing	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
1	G	Union Kirchham	8	80	Judoteam SHIAI-DO Union Thermenregion	6	60	Zweite Judo-Bundesliga	2013	2013-03-16	20:00	VS-Turnhalle @ 4656 Kirchham, Kirchham 35	4656	Kirchham	Kirchham 35	VS-Turnhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
2	G	Swarovski Judo Wattens	8	77	Cafe+co Vienna Samurai 2	5	50	Zweite Judo-Bundesliga	2013	2013-04-05	20:00	Judozentrum @ 6112 Wattens, Sebastian-Schrottstrasse 7	6112	Wattens	Sebastian-Schrottstrasse 7	Judozentrum	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
2	G	Sanjindo Tigers	6	51	SU Noricum Raiffeisenbank Leibnitz Judo 2	8	80	Zweite Judo-Bundesliga	2013	2013-04-06	18:00	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstrasse 15	5500	Bischofshofen	Sportplatzstrasse 15	Hermann Wielandnerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
2	G	UJZ Mühlviertel 2	8	80	JC Wimpassing Sparkasse	6	60	Zweite Judo-Bundesliga	2013	2013-04-06	19:00	SHS Niederwaldkirchen @ 4174 Niederwaldkirchen, Schallenbergstraße 11	4174	Niederwaldkirchen	Schallenbergstraße 11	SHS Niederwaldkirchen	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
2	G	SV Gallneukirchen	6	60	Judoteam SHIAI-DO Union Thermenregion	8	58	Zweite Judo-Bundesliga	2013	2013-04-06	19:00	Turnsaal NMS @ 4210 Gallneukirchen, Reichenauerstrasse 2	4210	Gallneukirchen	Reichenauerstrasse 2	Turnsaal NMS	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
3	G	Sanjindo Tigers	8	75	JC Wimpassing Sparkasse	6	55	Zweite Judo-Bundesliga	2013	2013-04-19	20:00	Hermann Wielandnerhalle @ 5500 Bischofshofen, Sportplatzstrasse 15	5500	Bischofshofen	Sportplatzstrasse 15	Hermann Wielandnerhalle	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
3	G	Cafe+co Vienna Samurai 2	6	57	SV Gallneukirchen	8	80	Zweite Judo-Bundesliga	2013	2013-04-20	17:00	Sportzentrum Strebersdorf @ 1210 Wien, Anton Böckstraße 22	1210	Wien	Anton Böckstraße 22	Sportzentrum Strebersdorf	{{Internetquelle |url=http://www.judobundesliga.at/ergebnissescores/ |titel=Österreichische Judo Bundesliga » Ergebnisse |sprache=de-DE |archiv-url=https://web.archive.org/web/20131130123736/http://www.judobundesliga.at/ergebnissescores/ |archiv-datum=2013-11-30 |abruf=2026-01-04}}
