Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
41	Andja	Pilipovic	café+co Wien 2	-57 kg	0	0	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
41	Lisa	Gfrerer	café+co Wien 2	-57 kg	0	0	0	1	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
43	Anna	Grünauer	ESV Sanjindo	-52 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
43	Denise	Franzesko	ESV Sanjindo	-78 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
43	Dora	Cseloszki	ESV Sanjindo	-48 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
43	Manuela	Marcinko	ESV Sanjindo	-52 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
43	Marisa	Andrich	café+co Wien 1	-52 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
48	Sandra	Böheim	Judoteam SHIAI-DO Union Thermenregion	-70 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
48	Tamara	Höfer	UJZ Mühlviertel	-57 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
48	Victoria	Schuhmann	UJZ Mühlviertel	-57 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
51	Sarah	Krames	café+co Wien 2	-52 kg	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
52	Helene	Gugenberger	café+co Wien 2	-70 kg	0	0	0	0	0	0	5	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
