Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country
50	Steffen	Wagner	JU Raiffeisen Flachgau	-81 kg	4	37	2	3	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
51	Simon	Hofer	UJZ Mühlviertel 1	-100 kg	4	37	1	5	0	0	3	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
52	Philipp	Sellner	ASKÖ Reichraming	-66 kg	4	37	1	5	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
53	Stefan	Kudera	Volksbank Galaxy Judotigers	-66 kg	4	34	2	4	0	0	6	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
54	Florian	Wallner	JC Wimpassing Sparkasse	-90 kg	3	30	3	2	0	0	11	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
55	Nikolas	Rechberger	UJZ Mühlviertel 1	-60 kg	3	30	3	1	0	0	7	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
56	Gabriel	Lukanovic	cafe+co Vienna Samurai	-90 kg	3	30	2	3	0	0	8	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
57	Adam	Borchashvilli	Volksbank Galaxy Judotigers	-81 kg	3	30	2	2	0	0	2	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria
58	Johannes	Kastinger	JU DynamicOne	-90 kg	3	30	2	2	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
59	Simon	Reisinger	ASKÖ Reichraming	-81 kg	3	30	2	2	0	0	6	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}		
