Rang	Last Name	First Name	Team Name	S	U	N	Count	S/K	Gastkämpfer	Source
143	BALLA	Szolt-Tamas	LZ Multikraft Wels	0	0	10	10	0,0%		
6	OTT	Marcel	SANDOKAN Galaxy Tigers	12	3	3	18	66,7%		
8	REICHMANN	Manuel	SANDOKAN Galaxy Tigers	12	2	4	18	66,7%		
10	REICHSTEIN	Julian	SANDOKAN Galaxy Tigers	11	1	3	15	73,3%		
24	WEICHINGER	Alexander	SANDOKAN Galaxy Tigers	7	5	6	18	38,9%		
29	KUCIARA	Stefan	SANDOKAN Galaxy Tigers	6	2	6	14	42,9%		
31	EITEL	Gregorz	SANDOKAN Galaxy Tigers	6	0	0	6	100,0%		
41	WEISS	Patrick	SANDOKAN Galaxy Tigers	5	1	3	9	55,6%		
54	BURJAN	Laszlo	SANDOKAN Galaxy Tigers	4	0	2	6	66,7%		
62	GEIER	Gabor	SANDOKAN Galaxy Tigers	3	0	5	8	37,5%		
69	BRATA	Daniel	SANDOKAN Galaxy Tigers	2	0	0	2	100,0%		
86	JENUS	Mitja	SANDOKAN Galaxy Tigers	1	1	0	2	50,0%		
92	SCHWEIGER	Maximilian	SANDOKAN Galaxy Tigers	1	0	0	1	100,0%		
99	KUDERA	Stefan	SANDOKAN Galaxy Tigers	1	0	2	3	33,3%		
110	FUCHS	Christoph	SANDOKAN Galaxy Tigers	0	0	1	1	0,0%		
120	HAASMANN	Nick	SANDOKAN Galaxy Tigers	0	0	2	2	0,0%		
133	STEINLECHNER	Thomas	SANDOKAN Galaxy Tigers	0	0	3	3	0,0%		
16	MARIJANOVIC	Tomislav	SU Noricum Leibnitz 1	9	1	0	10	90,0%		
20	PALKOVACS	Zoltan	SU Noricum Leibnitz 1	8	2	2	12	66,7%		
35	BERTAGNOLI	Martin	SU Noricum Leibnitz 1	6	0	4	10	60,0%		
36	RIBITSCH	Stephan	SU Noricum Leibnitz 1	6	0	6	12	50,0%		
51	FILIMON	Giuliano	SU Noricum Leibnitz 1	4	1	3	8	50,0%		
63	OGERTSCHNIG	Benjamin	SU Noricum Leibnitz 1	3	0	6	9	33,3%		
