Position	First Name	Last Name	Team Name	Weight Class	Score	Subscore	Ippon	Wazaari	Yuko	Koka	Shido	Hansoku-make	Source	Nationality	Country	Gastkämpfer
97	Dominik	Schweighofer	Swarovski Judo Wattens	-81 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Fabian	Trubrich	Judoteam SHIAI-DO Union Thermenregion 2	-73 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Gerhard	Prem	Swarovski Judo Wattens	-81 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Markus	Leonhardsberger	Cafe+co Vienna Samurai 2	-81 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Markus	Serschen	Judoteam SHIAI-DO Union Thermenregion 2	-100 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Patrick	Ginterseder	UJZ Mühlviertel 2	-90 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Philipp	Dietschy	Judoteam SHIAI-DO Union Thermenregion 2	-81 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Robert	Kollisch	UJZ Mühlviertel 2	+100 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Simon	Hutter	SV Gallneukirchen	-60 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
97	Stefan	Wilfling	Sanjindo Tigers	-100 kg	0	0	0	0	0	0	0	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
107	Florian	Rinnerthaler	Sanjindo Tigers	-100 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
107	Hannes	Dengg	Judoteam SHIAI-DO Union Thermenregion 2	-66 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
107	Michael	Makula	UJZ Mühlviertel 2	-81 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
107	Wolfgang	Meyer	Judoteam SHIAI-DO Union Thermenregion 2	-66 kg	0	0	0	0	0	0	1	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
111	Gabriel	Lukanovic	Cafe+co Vienna Samurai 2	-73 kg	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
111	Gerhard	Laubichler	Sanjindo Tigers	-81 kg	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
111	Lukas	Lindorfer	UJZ Mühlviertel 2	-66 kg	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
111	Marco	Inreiter	SV Gallneukirchen	-100 kg	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
111	Michael	Hofer	UJZ Mühlviertel 2	-66 kg	0	0	0	0	0	0	2	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
116	Hermann	Pum	Judoteam SHIAI-DO Union Thermenregion 2	-100 kg	0	0	0	0	0	0	3	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
117	Damir	Tahmaz	Cafe+co Vienna Samurai 2	+100 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
117	Daniel	Tiroch	Judoteam SHIAI-DO Union Thermenregion 2	-100 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
117	Markus	Hintringer	UJZ Mühlviertel 2	-90 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
117	Michail	Sobanov	Cafe+co Vienna Samurai 2	-60 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
117	Norbert	Gattringer	UJZ Mühlviertel 2	-81 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
117	Patrick	Hanl	SV Gallneukirchen	+100 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
117	Reinhold	Kurz	Swarovski Judo Wattens	-81 kg	0	0	0	0	0	0	4	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}	Austria	Austria	
117	Simon	Schmiderer	SV Gallneukirchen	-100 kg	0	0	0	0	0	0	4	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
125	Thomas	Buchegger	Union Kirchham	-100 kg	0	0	0	0	0	0	5	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Alexander	Steinicke	Swarovski Judo Wattens	-73 kg	0	0	0	0	0	0	6	0	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
126	Konrad	Sacherer	Judoteam SHIAI-DO Union Thermenregion 2	-90 kg	0	0	0	0	0	0	6	1	{{Internetquelle |url=https://www.judobundesliga.at/ |titel=Österreichischer Judoverband |abruf=2025-11-16}}			
	Michaela	Polleres	Vienna Samurai										{{Internetquelle |url=https://www.judoaustria.at/samurai-damen-verteidigen-titel/ |titel=Samurai-Damen verteidigen Titel |werk=Judo Austria |datum=2014-11-09 |sprache=de-DE |abruf=2025-02-06}}	Austria		JC Wimpassing
