Source	Name	Playoff	ValidFrom	WeightClass00	WeightClass01	WeightClass02	WeightClass03	WeightClass04	WeightClass05	WeightClass06	WeightClass10	WeightClass11	WeightClass12	WeightClass13	WeightClass14	WeightClass15	WeightClass16	LeagueType	Sort	ValidTo	Year	Canceled
{{Internetquelle |url=https://www.nachrichten.at/oberoesterreich/wels/Welser-Judo-Ladys-sind-Staatsmeister;art67,66625 |titel=Welser Judo-Ladys sind Staatsmeister |sprache=de |abruf=2025-01-14}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2008	False
{{Internetquelle |url=https://web.archive.org/web/20080919112348if_/http://www.oejv.com/modules.php?name=News&new_topic=0&pagenum=9 |titel=News |hrsg=Judo Austria |sprache=de |abruf=2024-12-03 |kommentar=GRAZ — Bei der heute in der steirischen Landeshauptstadt stattgefundenen Judo-Mannschaftsmeisterschaft der Frauen holte Pinzgau den begehrten Titel. Es gab es folgendes Ergebnis}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2007	False
{{Internetquelle |url=https://web.archive.org/web/20080919112100if_/http://www.oejv.com/modules.php?name=News&new_topic=0&pagenum=20 |titel=Österreichischer Judo Verband: Austrian Judo Association |sprache=de |abruf=2024-12-03 |zitat=Die Judo Union Graz holte sich am Samstag den österreichischen Frauen-Mannschaftstitel mit einem spannenden 3:2 gegen COLOP Samurai Vienna.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2006	False
{{Internetquelle |url=https://web.archive.org/web/20080919112216if_/http://www.oejv.com/modules.php?name=News&new_topic=0&pagenum=32 |titel=Österreichischer Judo Verband: Austrian Judo Association |abruf=2024-12-03 |kommentar=In der Sporthalle Mozartstraße in Wels fand am Samstag auch die Österreichische Meisterschaft für Frauen Mannschaften statt. Fünf Mannschaften traten um den Meistertitel an. Zum Schluss standen die Judoka von Union RAIKA Pinzgau als neue Österreichische Meister fest.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2005	False
{{Internetquelle |url=https://web.archive.org/web/20080919112315if_/http://www.oejv.com/modules.php?name=News&new_topic=0&pagenum=43 |titel=Österreichischer Judo Verband: Austrian Judo Association |sprache=de |abruf=2024-12-03 |kommentar=COLOP Samurai zum zweiten Mal in Folge Meister; Im Rahmen des Weihnachtsturnieres des JLV-Wien wurde auch die Österreichische Meisterschaft für Frauen Mannschaften ausgetragen.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2004	False
{{Internetquelle |url=https://web.archive.org/web/20040918153632/http://www.oejv.com/archive/arc11-2003.html |titel=Frauen-Mannschaftstitel ging nach Wien |werk=[[Judo Austria]] |hrsg=[[Judo Austria]] |datum=2004-09-18 |abruf=2024-12-07 |zitat=Heute fand in der Sporthalle in Wimpassing (NÖ) die Staatsmeisterschaft für Frauenmannschaften statt. Aus leider nur drei Mannschaften wurde der diesjährige Meister ermittelt.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2003	False
	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2002	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=u0eUr462T3h7SKPN%2FcH24J3d3HSrUDxAA3LmmBAyLJiL3FTxdPwM6%2BhUnpfZpToy2P00b6N7TEd%2BLuyTsMVar%2BjHcq%2BEWw9a2XKoL5sikiQ2k7Rby1gehiVornomCRDY&id1=20011203_20#slide20 |titel=JUDO |sprache=de |abruf=2025-01-30}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2001	False
{{Internetquelle |url=https://web.archive.org/web/20030929182400/http://asn.or.at/content/showarticle.asp?aid=11339 |titel=JGV Colop Samurai ist Meister |datum=2000-06-26 |sprache=de |abruf=2024-12-06 |zitat=Die Wiener Judoka sind die besten im Land. Präziser jene vom Klub Samurai. Dieser kann nämlich über den Titel bei den Damen jubeln. Während die Herren-Abteilung in der Staatsliga einen 10:4-Erfolg über ASV Salzburg feierte, krönten sich die Frauen von JGV Colop Samurai im Budocenter durch einen finalen 4:3-Sieg über ASVÖ Salzburg erstmals nach sieben Jahren wieder zum Meister.}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				2000	False
{{Internetquelle |url=https://www.sn.at/archivsn?img=%2Fy5Fy0UEmWmTWkPt8S8aC7Xh155zlzwNxBFQjsjfBFBOMGKJMqLN%2Bb7%2BrtXa6mf9mSM1L22bE02W%2BM9tn0Jbhrhpr6SBhQHgJy8shM8ZdH1y28aaeEcOVZmu6VKSJp8a&id1=lo19991229_27#slide55 |titel=DIE SALZBURGER STAATSMEISTER 1999 - JUDO |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1999-12-29 |sprache=de |abruf=2025-01-25}}</ref><ref>{{Internetquelle |url=https://www.sn.at/archivsn?img=BIkFsTnT5wadTRjd1s%2BPJh3%2FffBFOmA1TooxzGAsFUSazi9FE8lwiIKX7ypMInfJTz1Dx0GaVO7dpdjMZrJB6uGQvKguRrsbNW0FcCuTBG5qnHxbb%2FqXkDRv7QLHolco&id1=lo19991025_14#slide73 |titel=Sportveranstaltungen am Feiertag JUDO |werk=Salzburger Nachrichten |hrsg=Salzburger Nachrichten |datum=1999-10-25 |sprache=de |abruf=2025-01-25}}{{Internetquelle |url=https://www.sn.at/archivsn?img=%2Fy5Fy0UEmWmTWkPt8S8aC7Xh155zlzwNxBFQjsjfBFBOMGKJMqLN%2Bb7%2BrtXa6mf9mSM1L22bE02W%2BM9tn0Jbhrhpr6SBhQHgJy8shM8ZdH1y28aaeEcOVZmu6VKSJp8a&id1=lo19991229_27#slide55}}	Österreichische Judo-Damen-Mannschaftsmeisterschaft																				1999	False
